Rssi,Riding
-73,0
-89,0
-76,0
-87,0
-81,0
-63,0
-78,0
-88,0
-78,0
-81,0
-82,0
-78,0
-74,0
-82,0
-82,0
-86,0
-67,0
-79,0
-75,0
-74,0
-66,0
-84,0
-82,0
-71,0
-81,0
-83,0
-87,0
-80,0
-69,0
-71,0
-81,0
-81,0
-87,0
-64,0
-76,0
-78,0
-77,0
-71,0
-74,0
-79,0
-82,0
-82,0
-79,0
-76,0
-73,0
-75,0
-67,0
-75,0
-78,0
-85,0
-73,0
-68,0
-76,0
-76,0
-81,0
-82,0
-68,0
-79,0
-86,0
-66,0
-86,0
-70,0
-77,0
-73,0
-88,0
-83,0
-83,0
-81,0
-84,0
-78,0
-78,0
-83,0
-69,0
-78,0
-70,0
-84,0
-69,0
-81,0
-74,0
-71,0
-67,0
-72,0
-75,0
-81,0
-82,0
-76,0
-77,0
-66,0
-84,0
-82,0
-76,0
-84,0
-79,0
-85,0
-87,0
-73,0
-79,0
-75,0
-76,0
-76,0
-86,0
-83,0
-75,0
-79,0
-84,0
-85,0
-71,0
-81,0
-78,0
-85,0
-71,0
-69,0
-79,0
-81,0
-75,0
-78,0
-75,0
-73,0
-79,0
-85,0
-79,0
-68,0
-83,0
-72,0
-82,0
-79,0
-73,0
-78,0
-77,0
-76,0
-68,0
-76,0
-76,0
-78,0
-80,0
-75,0
-77,0
-85,0
-78,0
-83,0
-84,0
-71,0
-78,0
-77,0
-92,0
-79,0
-86,0
-84,0
-76,0
-71,0
-87,0
-81,0
-74,0
-78,0
-70,0
-71,0
-84,0
-74,0
-80,0
-79,0
-72,0
-85,0
-75,0
-74,0
-72,0
-77,0
-79,0
-76,0
-67,0
-73,0
-78,0
-82,0
-84,0
-73,0
-78,0
-86,0
-81,0
-80,0
-81,0
-79,0
-84,0
-74,0
-84,0
-79,0
-80,0
-70,0
-86,0
-70,0
-91,0
-77,0
-72,0
-76,0
-90,0
-85,0
-69,0
-88,0
-71,0
-75,0
-86,0
-78,0
-94,0
-79,0
-69,0
-69,0
-84,0
-79,0
-82,0
-81,0
-78,0
-79,0
-85,0
-81,0
-71,0
-78,0
-73,0
-78,0
-78,0
-68,0
-82,0
-80,0
-82,0
-82,0
-70,0
-70,0
-80,0
-83,0
-76,0
-73,0
-86,0
-71,0
-85,0
-74,0
-78,0
-76,0
-72,0
-70,0
-79,0
-76,0
-83,0
-81,0
-82,0
-82,0
-86,0
-76,0
-87,0
-72,0
